date,flow_obs,flow_sim,precipitation_mean,tmin_mean,tmax_mean
1982-04-07,,0.692,2.026,0.696,13.301
1982-04-08,,0.756,2.843,0.951,13.12
1982-04-09,,0.835,7.076,-0.138,11.284
1982-04-10,,0.867,1.486,-0.684,11.78
1982-04-11,,0.867,0.007,-0.669,13.241
1982-04-12,,0.867,0.029,-3.081,13.133
1982-04-13,,0.844,0.007,-4.544,14.18
1982-04-14,,0.768,0.01,-3.708,15.21
1982-04-15,,0.698,0.008,-3.27,14.734
1982-04-16,,0.613,0.351,-1.673,13.057
1982-04-17,,0.535,0.083,-0.884,12.986
1982-04-18,,0.46,0.429,-2.572,13.656
1982-04-19,,0.408,0.094,-2.023,13.561
1982-04-20,,0.383,0.122,-3.333,14.762
1982-04-21,,0.361,0.016,-2.208,13.775
1982-04-22,,0.343,0.359,-2.151,13.997
1982-04-23,,0.329,2.524,-0.148,13.573
1982-04-24,,0.308,0.041,-0.132,13.474
1982-04-25,,0.318,1.782,-1.074,13.434
1982-04-26,,0.345,0.836,0.286,12.552
1982-04-27,,0.38,0.848,0.607,12.967
1982-04-28,,0.4,0.471,-1.146,12.928
1982-04-29,,0.415,1.67,-1.229,11.442
1982-04-30,,0.416,0.533,-2.735,11.31
1982-05-01,,0.404,0.069,-2.741,11.429
1982-05-02,,0.389,0.012,-3.074,12.355
1982-05-03,,0.373,0.012,-2.342,12.924
1982-05-04,,0.345,0.025,-3.149,13.191
1982-05-05,,0.314,0.015,-3.321,13.835
1982-05-06,,0.284,0.045,-4.042,14.004
1982-05-07,,0.257,0.08,-2.746,14.79
1982-05-08,,0.236,0.124,-2.645,14.411
1982-05-09,,0.215,0.002,-4.627,14.33
1982-05-10,,0.201,0.035,-5.084,14.991
1982-05-11,,0.188,0.004,-5.172,15.2
1982-05-12,,0.178,0.158,-3.719,14.634
1982-05-13,,0.171,0.011,-4.557,14.547
1982-05-14,,0.164,0.015,-4.551,13.812
1982-05-15,,0.161,0.117,-3.971,12.581
1982-05-16,,0.16,0.0,-4.235,13.056
1982-05-17,,0.159,0.006,-6.934,13.862
1982-05-18,,0.159,0.0,-6.937,14.256
1982-05-19,,0.156,0.087,-6.685,14.094
1982-05-20,,0.153,0.028,-6.748,14.763
1982-05-21,,0.15,0.001,-6.796,14.11
1982-05-22,,0.145,0.001,-7.202,13.255
1982-05-23,,0.141,0.0,-8.368,13.304
1982-05-24,,0.139,0.001,-8.473,14.267
1982-05-25,,0.137,0.0,-9.384,13.751
1982-05-26,,0.135,0.058,-8.821,14.456
1982-05-27,,0.134,0.011,-8.45,13.823
1982-05-28,,0.132,0.0,-8.057,13.796
1982-05-29,,0.13,0.0,-9.535,13.135
1982-05-30,,0.128,0.002,-9.492,13.332
1982-05-31,,0.126,0.0,-9.375,14.02
1982-06-01,,0.122,0.0,-7.425,14.145
1982-06-02,,0.119,0.0,-8.007,14.798
1982-06-03,,0.117,0.0,-7.173,15.191
1982-06-04,,0.114,0.017,-7.858,14.746
1982-06-05,,0.113,0.016,-8.8,14.076
1982-06-06,,0.11,0.002,-7.305,14.125
1982-06-07,,0.109,0.015,-5.191,13.613
1982-06-08,,0.106,0.004,-6.185,14.538
1982-06-09,,0.105,0.02,-5.266,13.481
1982-06-10,,0.104,0.006,-3.143,13.09
1982-06-11,,0.103,0.056,-7.736,13.335
1982-06-12,,0.102,0.056,-7.857,13.658
1982-06-13,,0.101,0.04,-8.915,14.078
1982-06-14,,0.101,0.056,-8.548,14.146
1982-06-15,,0.1,0.107,-7.457,14.414
1982-06-16,,0.1,0.303,-5.341,13.746
1982-06-17,,0.099,0.126,-3.712,12.602
1982-06-18,,0.098,0.006,-3.428,13.499
1982-06-19,,0.098,0.184,-6.309,13.978
1982-06-20,,0.098,0.657,-7.322,13.481
1982-06-21,,0.098,0.302,-5.397,12.868
1982-06-22,,0.098,0.029,-8.204,12.118
1982-06-23,,0.097,0.0,-8.839,13.326
1982-06-24,,0.096,0.003,-9.095,14.232
1982-06-25,,0.095,0.0,-8.98,14.204
1982-06-26,,0.094,0.079,-7.912,13.611
1982-06-27,,0.093,0.001,-6.989,13.928
1982-06-28,,0.092,0.025,-7.899,13.383
1982-06-29,,0.09,0.112,-6.613,13.044
1982-06-30,,0.09,0.129,-6.94,13.25
1982-07-01,,0.088,0.003,-6.734,12.097
1982-07-02,,0.088,0.0,-7.66,12.952
1982-07-03,,0.089,0.0,-5.515,13.098
1982-07-04,,0.09,0.0,-7.195,13.013
1982-07-05,,0.09,0.0,-7.319,13.354
1982-07-06,,0.09,0.007,-7.478,13.39
1982-07-07,,0.088,0.001,-7.247,12.87
1982-07-08,,0.087,0.007,-8.678,12.444
1982-07-09,,0.085,0.0,-9.691,13.98
1982-07-10,,0.084,0.053,-7.308,13.734
1982-07-11,,0.083,0.011,-7.494,14.018
1982-07-12,,0.082,0.001,-6.906,14.339
1982-07-13,,0.08,0.057,-7.418,13.419
1982-07-14,,0.08,0.18,-3.349,13.64
1982-07-15,,0.079,0.0,-8.103,13.369
